thread_count,gsm,tensile_strength,shrinkage_percent,color_fastness,fabric_thickness,defect_count,elongation_percent,moisture_absorption,fabric_type,weave_type,finish_type,production_method,batch_id,roll_number,inspection_time_minutes,warehouse_id,operator_name,inspection_shift,machine_temperature,humidity_level,inspection_notes,fabric_quality
166,383,,7.74470405,1,0.891865011,11,31.29922759,12.85577688,polyester,twill,raw,handloom,898423,363,45.95728855,WH-A,Suresh,Morning,28.14886785,67.81004066,Recheck,Low
273,107,106.5086825,1.191272488,1,0.872379679,4,8.092515471,7.224688617,polyester,satin,dyed,handloom,350678,4741,33.0359819,WH-C,Suresh,Morning,42.03328228,40.59651961,Looks fine,High
274,352,97.10041023,,3,1.231905937,3,24.13490741,12.27667889,silk,satin,printed,handloom,195742,1626,35.76849326,WH-A,Ramesh,Morning,35.45092301,37.79958779,OK,High
,200,17.87665957,4.001214072,1,0.320100039,12,18.3344786,14.73211397,linen,twill,printed,powerloom,940561,894,38.34927354,WH-A,Ramesh,Night,23.45932709,57.42094338,Minor issue,Low
115,348,62.74601274,2.529863384,2,0.903725044,14,6.396909154,11.69251238,cotton,plain,printed,powerloom,740914,2621,44.33909727,WH-A,Priya,Evening,33.87342573,42.44957034,Minor issue,Low
260,387,62.46477119,2.092396464,3,0.899725987,0,21.02723374,11.43961212,cotton,twill,raw,handloom,812775,2738,57.96768713,WH-B,John,Night,26.61954888,46.61917333,Looks fine,High
193,390,44.54685186,5.873862778,1,1.070468227,5,25.63142044,11.03297295,linen,twill,printed,powerloom,852901,2451,17.80368785,WH-C,Suresh,Morning,44.27025303,40.64403687,Approved,Medium
248,370,50.60020098,4.968459019,1,0.186284212,12,22.81408491,11.42206416,,plain,dyed,handloom,258596,2804,56.62095899,WH-C,Suresh,Evening,28.93148362,40.15182002,Approved,Low
95,91,21.10648552,1.694754154,4,0.400065047,14,6.868279019,9.054425485,polyester,,dyed,handloom,232045,1891,29.92968409,WH-B,Suresh,Morning,42.86456016,78.64318318,Recheck,High
280,286,98.76882006,2.411648785,5,1.496608108,8,20.97351594,12.68110259,linen,twill,raw,handloom,841383,4258,12.09619466,WH-B,Suresh,Morning,44.43095567,49.08944377,Looks fine,High
246,132,109.4738583,3.778016676,3,0.81154964,1,23.08040797,5.777028601,wool,twill,raw,handloom,182951,4894,39.33741644,WH-C,Ramesh,Morning,33.06436283,45.25827008,Recheck,High
92,382,31.95004023,6.162398237,5,1.025174175,1,30.81648675,14.87910805,silk,,printed,powerloom,361341,4995,33.26348008,WH-B,John,Night,42.24773979,73.08822395,Approved,Low
,192,49.72082572,1.83070667,4,1.441275365,4,24.42590132,8.09376799,cotton,twill,dyed,powerloom,929538,4038,39.38048699,WH-A,Anita,Morning,43.12552887,42.85676221,Minor issue,High
111,245,76.67926318,2.956356116,1,0.980793442,5,7.52185828,13.27542998,silk,satin,dyed,handloom,455331,3323,42.10104212,WH-B,John,Evening,35.06959903,31.32140747,OK,Medium
145,309,,4.80129976,2,0.333115873,1,14.02255546,4.210059465,,twill,printed,powerloom,162940,413,39.23947809,WH-C,Priya,,26.27650111,68.30379699,Looks fine,High
,234,94.03393517,6.928901408,5,0.414858381,7,36.95980346,14.25788459,cotton,twill,printed,powerloom,869169,370,42.76612232,WH-C,Priya,Evening,37.94103329,52.75483599,Minor issue,High
204,,33.35468507,7.475388953,4,0.50357434,14,35.3999646,5.740154389,linen,satin,raw,powerloom,607701,4041,37.31715746,WH-C,Suresh,Evening,28.19368765,87.26381942,Looks fine,Low
324,221,74.20729621,4.799148433,1,0.835698062,0,10.76351049,8.779045621,linen,plain,raw,powerloom,642068,3574,28.67133022,WH-B,Suresh,Morning,40.32379996,80.53618387,Minor issue,High
177,237,81.00246738,3.555033773,4,0.493246221,3,35.41001879,11.36179244,polyester,plain,printed,handloom,630833,3156,23.12358129,WH-B,Priya,Night,27.37552619,77.40777585,Looks fine,High
188,115,24.02912255,1.101998349,5,1.083415927,0,33.14827072,5.378106327,linen,satin,printed,powerloom,395940,4353,46.90237932,WH-A,John,Morning,33.48879371,80.00534187,Recheck,High
318,105,16.24317373,5.357680731,2,0.798514243,9,13.66200999,5.41168642,linen,satin,printed,handloom,977799,1602,5.104746717,WH-A,John,Evening,35.40970535,49.76733002,Recheck,Low
162,380,45.82214403,2.712674441,3,0.947617525,7,35.39509963,14.28296944,silk,twill,dyed,handloom,453016,3960,11.32009151,WH-C,John,Night,39.37128539,49.77675131,Minor issue,Medium
274,120,84.1696748,1.840130764,4,1.21643173,1,30.31114807,3.43075752,wool,plain,dyed,powerloom,202809,2387,5.082004353,WH-B,Ramesh,Morning,28.57313638,47.03908825,Looks fine,High
111,147,28.1697699,6.647677934,3,0.801501724,4,11.42114119,9.465314976,cotton,plain,raw,powerloom,681701,2526,16.51618707,WH-A,Priya,Night,26.93753062,43.33447791,OK,Low
136,130,63.09501823,2.723356266,2,1.130698211,5,31.54522129,10.53786991,wool,plain,printed,handloom,393466,1950,5.425873784,WH-B,Ramesh,Evening,29.48311004,81.25127634,Looks fine,Medium
309,367,,1.406823327,3,0.296329881,7,7.630992601,13.80484978,linen,satin,raw,powerloom,508672,1985,43.7023345,WH-B,Priya,Night,23.79235485,40.35112281,Approved,High
120,133,84.47087844,2.701331532,1,0.7939931,2,18.38993002,12.02050296,cotton,satin,raw,handloom,223212,2687,12.94974556,WH-B,Priya,Night,41.31177168,89.92347639,Looks fine,High
166,157,16.66846216,2.669568392,4,0.775645336,1,13.02181926,9.325293892,silk,satin,dyed,powerloom,718339,3878,18.24611948,WH-A,John,Night,44.3338538,51.47424924,OK,High
331,399,43.47721475,6.831231544,3,0.307868354,8,27.70611328,5.575772939,silk,satin,raw,handloom,520562,2767,50.36054268,WH-A,Anita,Night,27.51445348,75.01706302,Recheck,Medium
94,352,33.45869806,6.8604225,5,0.569246285,12,25.2893775,4.818293097,wool,twill,raw,handloom,348717,4365,50.70753492,WH-C,Priya,Evening,42.33731899,43.39192072,OK,Low
308,180,88.64844629,5.941140616,3,1.046915192,10,17.88469524,4.070594191,cotton,twill,dyed,handloom,360938,2719,57.67704226,WH-A,Suresh,Evening,29.62343349,85.93715811,Minor issue,Medium
266,375,109.8397883,2.988070746,5,1.425779657,0,6.677466193,13.2288513,,plain,printed,powerloom,981420,3043,11.57032606,WH-A,Ramesh,Morning,42.87538321,46.73418134,Minor issue,High
124,199,112.2181257,5.521799764,2,0.626958052,2,11.11822164,7.585571664,cotton,plain,printed,handloom,460107,4990,44.08925585,WH-C,Ramesh,Morning,25.0790482,67.15321103,Looks fine,High
